filename,label,text
This_Week_In_Black_History__Jet_USA___February_28_2000__p1.txt,PERSON,Debi Thomas
This_Week_In_Black_History__Jet_USA___February_28_2000__p1.txt,PERSON,Thomas
This_Week_In_Black_History__Jet_USA___February_28_2000__p1.txt,PERSON,Thomas
This_Week_In_Black_History__Jet_USA___February_28_2000__p1.txt,PERSON,"William
Edward Burghardt DuBois"
This_Week_In_Black_History__Jet_USA___February_28_2000__p1.txt,PERSON,DuBois
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Superstar Whitney Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Kenny Rogers
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Bobby Brown
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Kristina
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Rogers
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Michael Jackson
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Stevie Wonder
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Ella Fitzgerald
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Berry Gordy Jr.
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,James Brown
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Wonder
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Chuck Berry
